Geneid	Chr	Start	End	Strand	Length	...data.ly_2024.ribo.chx.SRR24230465Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230467Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230469Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230471Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230480Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230482Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230464Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230468Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230470Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230481Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230483Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230485Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230462Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230466Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230472Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230474Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230477Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230479Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230463Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230473Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230475Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230476Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230478Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230484Aligned.sortedByCoord.out.bam
125755	ENSG00000125686.12	chr17	39404512	39404532	-	21	0	0	0	0	0	0	0	0	1	0	0	3	3	9	7	4	3	9	2	1	7	4	2	7
259595	ENSG00000164855.16	chr7	1543905	1544038	-	134	0	0	0	0	1	0	0	0	1	0	0	0	2	6	1	4	0	1	1	4	4	9	0	3
44983	ENSG00000196778.4	chr11	4492447	4492488	+	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298861	ENSG00000188158.17	chrX	17734600	17734641	+	42	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	2	0	0	0	1	0	1
125547	ENSG00000277258.5	chr17	38734770	38734983	-	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290222	ENSG00000165091.18	chr9	72616333	72616451	+	119	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
249261	ENSG00000137270.11	chr6	53128027	53128098	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
305550	ENSG00000101935.13	chrX	110196664	110196672	-	9	0	0	0	0	1	1	0	0	0	0	0	0	1	4	0	1	0	3	3	3	1	0	2	1
303632	ENSG00000165288.11	chrX	80674639	80674746	-	108	0	0	0	0	1	0	0	0	0	0	0	1	4	7	1	4	2	2	2	6	3	0	3	4
63528	ENSG00000273079.7	chr12	13539721	13539777	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14536	ENSG00000155380.13	chr1	112912560	112912574	-	15	2	1	4	1	0	2	3	1	8	3	9	1	13	30	10	11	9	63	22	10	12	22	24	25
83069	ENSG00000152213.4	chr13	49631878	49631910	+	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122429	ENSG00000141027.23	chr17	16218166	16218174	-	9	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0
254410	ENSG00000178033.6	chr6	116521265	116521270	+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88299	ENSG00000151413.17	chr14	31860946	31860987	+	42	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	3	1	3	1	1	1	0	3	2
32953	ENSG00000165995.24	chr10	18539822	18539827	+	6	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	4	3	1	0	0
262557	ENSG00000078549.16	chr7	31107421	31107432	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141834	ENSG00000198028.4	chr19	9466574	9475313	-	8740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
310326	ENSG00000229549.9	chrY	9360495	9360509	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292715	ENSG00000136897.8	chr9	101390378	101390383	-	6	1	0	0	0	0	0	1	0	0	1	0	4	1	4	3	0	3	10	5	0	4	5	2	0
173593	ENSG00000127831.11	chr2	218452630	218452653	+	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	2	1	0	2	0
205594	ENSG00000181631.7	chr3	151326545	151326592	-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306072	ENSG00000102021.11	chrX	115306816	115306824	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6601	ENSG00000066136.21	chr1	40735013	40735636	+	624	1	0	0	0	0	1	1	0	2	0	0	0	1	6	1	0	0	1	3	3	1	1	0	0
57701	ENSG00000110723.12	chr11	108507561	108507644	-	84	0	0	0	0	1	0	0	0	0	0	0	0	2	7	1	1	0	1	2	1	3	3	0	0
183425	ENSG00000186930.4	chr21	30598614	30598622	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66154	ENSG00000139174.12	chr12	42459518	42459562	-	45	0	0	0	0	0	0	0	0	2	0	0	2	0	2	1	0	2	2	1	1	0	0	0	5
47802	ENSG00000179119.15	chr11	18608277	18608319	-	43	0	0	0	0	0	0	0	0	0	3	0	2	2	1	4	2	3	5	2	3	1	9	3	6
31517	ENSG00000015171.21	chr10	252885	252890	+	6	0	0	0	1	0	0	0	0	0	1	0	0	1	7	0	4	1	8	3	3	0	1	1	4
66075	ENSG00000015153.15	chr12	42157523	42157531	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
294407	ENSG00000182752.10	chr9	116401408	116401422	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227061	ENSG00000082213.18	chr5	31554902	31555049	+	148	0	0	1	0	0	0	0	0	0	0	1	2	2	1	2	0	2	7	4	1	2	0	3	3
69161	ENSG00000139540.12	chr12	56231275	56237731	+	6457	0	0	0	1	0	0	0	1	2	0	1	0	5	8	0	5	0	1	6	7	5	10	0	1
249222	ENSG00000112144.16	chr6	53005149	53041264	-	36116	45	15	19	10	139	79	13	13	22	92	27	42	73	153	74	104	35	131	99	103	126	90	48	64
81118	ENSG00000133116.8	chr13	33065286	33065315	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19392	ENSG00000163568.17	chr1	159122331	159122363	-	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308281	ENSG00000165370.3	chrX	137026885	137026944	-	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198819	ENSG00000083937.10	chr3	87255259	87255273	+	15	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	1	4	1
2286	ENSG00000179051.14	chr1	17408411	17408554	-	144	1	0	3	4	0	1	1	1	8	8	7	9	21	38	25	50	40	87	21	38	33	51	46	44
59970	ENSG00000196341.3	chr11	124306125	124306136	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215370	ENSG00000205678.8	chr4	64275970	64276002	-	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54661	ENSG00000158636.17	chr11	76552154	76552189	+	36	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0
294425	ENSG00000148219.18	chr9	116424284	116424334	-	51	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1
64085	ENSG00000008394.13	chr12	16376691	16376696	+	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
269970	ENSG00000105967.16	chr7	115939229	115939255	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80287	ENSG00000180730.5	chr13	26051246	26051317	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
287593	ENSG00000228083.3	chr9	21239366	21239935	-	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
207295	ENSG00000075651.17	chr3	171738053	171771224	-	33172	34	19	58	44	75	44	64	86	273	591	197	340	83	114	34	86	22	29	81	63	81	65	26	22
289599	ENSG00000106714.18	chr9	39068956	39068964	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78173	ENSG00000175727.15	chr12	122146177	122146278	+	102	0	0	2	0	0	1	2	1	1	2	2	1	9	11	5	22	2	19	1	6	7	7	8	11
20193	ENSG00000118217.7	chr1	161976308	161976364	+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116913	ENSG00000213380.16	chr16	69326661	69326693	-	33	1	0	0	0	0	0	0	0	0	0	0	0	1	4	3	4	3	6	1	0	2	0	0	2
66701	ENSG00000061273.18	chr12	47782855	47782966	-	112	2	1	3	1	3	5	0	0	9	1	1	7	15	17	12	25	13	33	12	14	8	16	12	19
95362	ENSG00000100784.12	chr14	90850863	90850919	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210297	ENSG00000145016.17	chr3	197670210	197670227	-	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115946	ENSG00000103021.10	chr16	58282838	58282843	+	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1
216027	ENSG00000173542.9	chr4	70983678	70983698	+	21	0	0	0	0	0	1	0	0	0	0	4	2	1	2	1	1	1	5	1	0	3	1	1	3
182563	ENSG00000130584.12	chr20	63744194	63744226	-	33	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0
277847	ENSG00000077782.23	chr8	38461116	38461139	-	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137695	ENSG00000091157.15	chr18	57029576	57029581	+	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
168841	ENSG00000163492.16	chr2	178831699	178831707	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291623	ENSG00000106823.13	chr9	92494083	92522866	-	28784	6	6	10	10	2	5	12	4	23	22	19	12	44	72	14	11	5	19	51	11	59	16	8	18
251106	ENSG00000065609.15	chr6	83707943	83709109	-	1167	0	0	0	1	0	1	0	1	2	1	0	3	0	0	1	0	1	0	0	0	0	0	0	3
209193	ENSG00000188001.10	chr3	189127071	189127112	+	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217693	ENSG00000163322.14	chr4	83461913	83461921	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
263979	ENSG00000283247.2	chr7	45862756	45862848	-	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283243	ENSG00000155097.12	chr8	103071673	103071747	+	75	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	3	1	1
41043	ENSG00000138175.9	chr10	102675665	102675810	-	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
222050	ENSG00000145391.14	chr4	139597986	139598072	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97455	ENSG00000088808.18	chr14	103733781	103733819	-	39	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	3	1
169337	ENSG00000061676.16	chr2	182914996	182915004	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76384	ENSG00000174456.16	chr12	110041415	110041543	-	129	0	0	0	0	0	0	0	0	0	7	0	3	2	0	0	3	1	2	0	1	2	1	0	0
46438	ENSG00000166405.16	chr11	8109272	8109277	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75176	ENSG00000111727.12	chr12	104103304	104103318	+	15	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	2
109664	ENSG00000127588.5	chr16	798719	799077	-	359	1	0	1	1	0	0	0	0	2	0	0	1	1	0	6	8	0	0	2	5	2	4	0	0
88461	ENSG00000151322.20	chr14	33803826	33803852	+	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200422	ENSG00000144824.21	chr3	111976441	111976449	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
254941	ENSG00000146352.13	chr6	123066935	123066958	+	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245598	ENSG00000204616.11	chr6	30103536	30112805	-	9270	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8176	ENSG00000162377.6	chr1	52686204	52686308	-	105	0	1	1	0	0	0	0	0	0	0	1	0	10	23	11	12	8	24	14	11	15	14	13	10
76369	ENSG00000076513.17	chr12	109999689	110037554	+	37866	249	138	70	57	854	577	164	218	139	1242	93	687	156	258	132	223	111	237	153	200	161	198	145	151
118647	ENSG00000103160.12	chr16	84122709	84122835	-	127	0	0	0	0	0	1	0	0	3	1	0	0	3	6	12	3	1	12	1	5	3	11	8	10
184945	ENSG00000157601.15	chr21	41469499	41469546	+	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246146	ENSG00000196735.13	chr6	32632791	32632841	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160205	ENSG00000152292.18	chr2	85436872	85436964	+	93	1	0	4	1	3	2	0	1	6	2	3	9	0	1	2	0	1	4	0	1	2	7	2	2
262175	ENSG00000106052.14	chr7	27843302	27843448	+	147	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
110608	ENSG00000102858.13	chr16	4689969	4689998	+	30	0	1	0	0	0	0	0	0	2	0	0	0	2	3	2	3	2	1	2	2	3	2	2	3
269732	ENSG00000146802.13	chr7	112790313	112790372	-	60	59	51	40	35	23	29	76	93	102	187	76	85	4	0	2	3	2	6	3	0	1	2	1	4
109985	ENSG00000205937.12	chr16	2253744	2253785	-	42	0	0	2	0	1	0	0	0	1	0	1	1	16	27	15	28	21	57	16	22	13	26	24	33
4620	ENSG00000116329.12	chr1	28868864	28868893	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308124	ENSG00000198689.13	chrX	136046999	136047010	+	12	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	2	1	0	0	3	0	1	2
130610	ENSG00000120063.10	chr17	65009657	65009769	-	113	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	1	0	0	0	1	0
199855	ENSG00000174173.7	chr3	101566070	101566078	+	9	0	0	2	0	1	1	0	1	1	5	0	6	2	4	1	6	2	6	3	3	5	5	6	1
182645	ENSG00000171700.14	chr20	64073229	64073285	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	2	2	1	0	0	2	1
164099	ENSG00000169967.17	chr2	127304482	127304683	-	202	1	0	5	1	0	2	0	3	6	1	4	4	11	25	13	20	9	56	12	16	11	13	22	24
